,overall,pace,shooting,passing,dribbling,defending,physic
51,87,90.0,69.0,81.0,83.0,79.0,73.0
52,87,69.0,74.0,85.0,90.0,69.0,63.0
54,87,89.0,79.0,85.0,91.0,35.0,47.0
55,86,95.0,81.0,79.0,86.0,38.0,70.0
56,86,74.0,41.0,73.0,70.0,86.0,77.0
57,86,69.0,41.0,59.0,66.0,87.0,82.0
58,86,65.0,60.0,84.0,90.0,79.0,66.0
59,86,69.0,63.0,69.0,69.0,86.0,82.0
61,86,72.0,69.0,86.0,84.0,79.0,78.0
62,86,71.0,77.0,83.0,91.0,59.0,60.0
63,86,77.0,82.0,80.0,87.0,61.0,78.0
64,86,62.0,81.0,86.0,81.0,74.0,70.0
65,86,68.0,68.0,87.0,85.0,75.0,67.0
66,86,84.0,79.0,84.0,87.0,48.0,68.0
67,86,58.0,58.0,69.0,70.0,87.0,79.0
68,86,79.0,80.0,84.0,90.0,52.0,64.0
69,86,41.0,80.0,88.0,79.0,70.0,69.0
70,86,72.0,83.0,79.0,78.0,55.0,71.0
71,86,80.0,85.0,63.0,81.0,39.0,76.0
72,86,82.0,85.0,75.0,86.0,40.0,74.0
73,85,67.0,58.0,66.0,68.0,83.0,84.0
75,85,79.0,64.0,84.0,87.0,76.0,76.0
76,85,83.0,45.0,62.0,63.0,85.0,80.0
77,85,72.0,42.0,55.0,50.0,86.0,82.0
78,85,67.0,79.0,80.0,83.0,77.0,84.0
79,85,67.0,68.0,77.0,77.0,82.0,80.0
80,85,70.0,78.0,79.0,81.0,78.0,78.0
81,85,68.0,69.0,78.0,77.0,85.0,83.0
82,85,85.0,62.0,77.0,79.0,80.0,75.0
83,85,69.0,45.0,52.0,54.0,86.0,82.0
84,85,75.0,45.0,68.0,65.0,86.0,80.0
85,85,77.0,83.0,87.0,85.0,65.0,74.0
89,85,75.0,82.0,73.0,72.0,35.0,84.0
90,85,82.0,25.0,42.0,60.0,86.0,81.0
92,85,83.0,73.0,81.0,80.0,80.0,76.0
93,85,75.0,84.0,61.0,77.0,36.0,69.0
94,85,81.0,47.0,78.0,81.0,82.0,80.0
95,85,80.0,75.0,86.0,83.0,50.0,66.0
96,85,56.0,88.0,77.0,77.0,34.0,78.0
97,85,89.0,78.0,81.0,86.0,39.0,55.0
98,85,63.0,85.0,71.0,80.0,31.0,71.0
99,85,75.0,66.0,76.0,78.0,83.0,81.0
100,85,91.0,87.0,82.0,82.0,58.0,76.0
101,85,81.0,74.0,83.0,89.0,77.0,79.0
102,85,73.0,74.0,80.0,79.0,83.0,81.0
103,85,83.0,65.0,77.0,80.0,82.0,82.0
104,85,78.0,84.0,77.0,85.0,35.0,64.0
105,85,68.0,75.0,86.0,82.0,74.0,79.0
106,85,55.0,86.0,87.0,86.0,50.0,63.0
107,85,75.0,71.0,78.0,84.0,85.0,84.0
108,84,88.0,72.0,77.0,90.0,36.0,60.0
109,84,84.0,78.0,79.0,84.0,44.0,65.0
110,84,93.0,79.0,80.0,87.0,36.0,57.0
112,84,90.0,65.0,80.0,84.0,78.0,71.0
113,84,72.0,81.0,79.0,82.0,71.0,79.0
114,84,81.0,54.0,70.0,71.0,83.0,82.0
115,84,69.0,71.0,81.0,86.0,73.0,70.0
116,84,87.0,80.0,81.0,84.0,32.0,78.0
117,84,81.0,77.0,80.0,81.0,75.0,79.0
118,84,82.0,78.0,81.0,85.0,40.0,68.0
119,84,92.0,76.0,77.0,87.0,29.0,60.0
120,84,90.0,82.0,75.0,86.0,43.0,69.0
121,84,78.0,82.0,81.0,88.0,33.0,77.0
123,84,71.0,76.0,84.0,85.0,49.0,59.0
124,84,85.0,72.0,84.0,81.0,80.0,76.0
126,84,66.0,41.0,62.0,68.0,86.0,74.0
127,84,89.0,77.0,79.0,89.0,55.0,61.0
128,84,67.0,51.0,57.0,60.0,85.0,85.0
129,84,56.0,75.0,85.0,82.0,71.0,67.0
132,84,69.0,77.0,83.0,83.0,72.0,69.0
133,84,72.0,51.0,52.0,60.0,84.0,83.0
134,84,62.0,66.0,76.0,78.0,83.0,73.0
135,84,70.0,72.0,86.0,84.0,24.0,56.0
136,84,48.0,55.0,69.0,63.0,86.0,83.0
138,84,60.0,84.0,71.0,75.0,46.0,73.0
139,84,77.0,73.0,78.0,84.0,76.0,78.0
140,84,84.0,80.0,78.0,82.0,62.0,77.0
141,84,68.0,80.0,71.0,75.0,65.0,86.0
142,84,67.0,79.0,80.0,78.0,85.0,86.0
143,84,66.0,50.0,72.0,65.0,84.0,82.0
144,84,70.0,55.0,77.0,73.0,85.0,76.0
145,84,89.0,78.0,75.0,83.0,47.0,64.0
146,84,66.0,74.0,84.0,84.0,72.0,71.0
147,84,72.0,81.0,77.0,80.0,78.0,85.0
148,84,91.0,63.0,76.0,77.0,81.0,81.0
149,84,78.0,79.0,83.0,81.0,51.0,66.0
150,84,94.0,73.0,79.0,91.0,43.0,61.0
151,84,77.0,77.0,84.0,81.0,63.0,68.0
152,84,68.0,80.0,84.0,85.0,41.0,71.0
153,84,70.0,84.0,84.0,85.0,43.0,67.0
154,84,84.0,78.0,79.0,89.0,38.0,59.0
155,84,88.0,79.0,79.0,83.0,47.0,64.0
156,84,64.0,41.0,57.0,60.0,84.0,87.0
157,83,65.0,78.0,78.0,83.0,74.0,69.0
158,83,63.0,40.0,55.0,66.0,85.0,79.0
159,83,77.0,78.0,82.0,85.0,65.0,72.0
160,83,80.0,62.0,82.0,78.0,78.0,70.0
161,83,77.0,82.0,68.0,81.0,29.0,74.0
162,83,69.0,85.0,64.0,76.0,39.0,74.0
163,83,89.0,81.0,72.0,86.0,41.0,71.0
164,83,77.0,82.0,80.0,81.0,57.0,72.0
165,83,71.0,27.0,59.0,57.0,83.0,81.0
166,83,69.0,77.0,79.0,78.0,76.0,79.0
168,83,90.0,79.0,76.0,84.0,36.0,70.0
169,83,91.0,81.0,75.0,85.0,33.0,67.0
170,83,78.0,45.0,68.0,72.0,83.0,80.0
171,83,92.0,82.0,73.0,84.0,45.0,77.0
172,83,68.0,36.0,70.0,72.0,84.0,77.0
173,83,73.0,74.0,79.0,80.0,77.0,80.0
174,83,85.0,63.0,79.0,84.0,77.0,71.0
175,83,92.0,81.0,67.0,83.0,35.0,69.0
176,83,83.0,76.0,82.0,85.0,59.0,67.0
177,83,74.0,45.0,57.0,66.0,83.0,81.0
178,83,81.0,80.0,82.0,84.0,43.0,62.0
179,83,78.0,69.0,79.0,79.0,80.0,76.0
180,83,77.0,79.0,81.0,86.0,55.0,63.0
182,83,90.0,80.0,75.0,87.0,39.0,64.0
183,83,67.0,83.0,63.0,76.0,35.0,82.0
185,83,91.0,76.0,72.0,88.0,27.0,74.0
186,83,79.0,84.0,68.0,80.0,36.0,63.0
187,83,81.0,79.0,71.0,80.0,31.0,72.0
188,83,72.0,81.0,62.0,76.0,51.0,82.0
189,83,42.0,57.0,77.0,74.0,79.0,85.0
190,83,81.0,75.0,81.0,87.0,60.0,66.0
191,83,72.0,37.0,61.0,61.0,83.0,79.0
192,83,74.0,76.0,83.0,81.0,55.0,50.0
194,83,73.0,61.0,73.0,72.0,82.0,74.0
195,83,75.0,76.0,82.0,84.0,57.0,57.0
197,83,92.0,79.0,76.0,87.0,42.0,66.0
198,83,83.0,80.0,81.0,83.0,41.0,69.0
199,83,55.0,63.0,84.0,81.0,70.0,73.0
203,83,50.0,53.0,65.0,64.0,84.0,79.0
204,83,48.0,41.0,61.0,63.0,86.0,72.0
205,83,69.0,89.0,75.0,80.0,30.0,65.0
207,83,65.0,82.0,69.0,77.0,43.0,72.0
208,83,64.0,49.0,60.0,68.0,84.0,74.0
209,83,80.0,82.0,78.0,84.0,31.0,67.0
210,83,43.0,60.0,67.0,62.0,82.0,81.0
212,83,72.0,79.0,78.0,83.0,83.0,82.0
213,83,61.0,73.0,84.0,82.0,77.0,70.0
214,83,73.0,82.0,64.0,75.0,49.0,85.0
215,83,51.0,74.0,78.0,77.0,80.0,80.0
216,83,61.0,65.0,74.0,70.0,82.0,77.0
217,83,66.0,83.0,83.0,83.0,45.0,70.0
218,83,64.0,70.0,83.0,77.0,78.0,80.0
219,83,56.0,81.0,84.0,80.0,57.0,69.0
220,83,68.0,77.0,79.0,80.0,68.0,74.0
221,83,54.0,71.0,80.0,79.0,80.0,71.0
222,83,54.0,65.0,80.0,77.0,82.0,74.0
224,83,56.0,57.0,63.0,59.0,83.0,78.0
225,83,91.0,72.0,77.0,88.0,66.0,67.0
226,83,73.0,59.0,70.0,78.0,85.0,78.0
227,83,76.0,67.0,80.0,86.0,63.0,62.0
228,83,90.0,80.0,74.0,82.0,44.0,70.0
229,83,63.0,72.0,82.0,81.0,74.0,73.0
230,83,84.0,82.0,77.0,85.0,39.0,61.0
231,83,56.0,50.0,61.0,63.0,86.0,82.0
232,83,65.0,63.0,72.0,74.0,82.0,85.0
233,83,73.0,85.0,73.0,85.0,30.0,71.0
234,83,81.0,84.0,62.0,72.0,33.0,75.0
235,83,80.0,43.0,56.0,64.0,85.0,77.0
236,83,87.0,77.0,83.0,84.0,35.0,72.0
237,82,75.0,82.0,79.0,83.0,39.0,61.0
238,82,91.0,77.0,75.0,84.0,33.0,64.0
239,82,85.0,80.0,72.0,86.0,39.0,71.0
240,82,76.0,68.0,81.0,86.0,67.0,70.0
241,82,77.0,81.0,57.0,77.0,41.0,82.0
243,82,71.0,73.0,76.0,88.0,65.0,66.0
244,82,75.0,67.0,77.0,80.0,81.0,75.0
245,82,62.0,74.0,83.0,76.0,70.0,73.0
246,82,75.0,39.0,67.0,67.0,81.0,83.0
247,82,89.0,75.0,76.0,85.0,40.0,73.0
249,82,92.0,57.0,69.0,81.0,77.0,75.0
252,82,64.0,39.0,55.0,64.0,85.0,74.0
253,82,83.0,80.0,75.0,86.0,54.0,65.0
254,82,94.0,80.0,72.0,80.0,41.0,82.0
255,82,93.0,76.0,73.0,83.0,41.0,66.0
256,82,95.0,71.0,74.0,86.0,47.0,61.0
258,82,73.0,72.0,77.0,77.0,79.0,84.0
259,82,67.0,74.0,82.0,84.0,64.0,70.0
260,82,61.0,46.0,68.0,67.0,83.0,76.0
261,82,78.0,76.0,83.0,87.0,33.0,53.0
262,82,55.0,35.0,54.0,56.0,84.0,72.0
263,82,72.0,43.0,67.0,63.0,82.0,78.0
265,82,86.0,64.0,77.0,81.0,79.0,73.0
266,82,81.0,57.0,72.0,76.0,80.0,81.0
269,82,80.0,72.0,77.0,87.0,51.0,58.0
270,82,71.0,78.0,85.0,86.0,56.0,70.0
271,82,77.0,73.0,74.0,75.0,83.0,82.0
273,82,69.0,82.0,68.0,75.0,40.0,81.0
274,82,78.0,63.0,81.0,78.0,77.0,73.0
275,82,90.0,52.0,76.0,80.0,74.0,76.0
276,82,76.0,84.0,79.0,79.0,41.0,83.0
277,82,74.0,37.0,66.0,64.0,81.0,79.0
278,82,71.0,49.0,69.0,65.0,83.0,81.0
279,82,89.0,65.0,76.0,80.0,78.0,78.0
280,82,50.0,53.0,64.0,69.0,81.0,84.0
281,82,82.0,77.0,80.0,86.0,47.0,64.0
282,82,70.0,71.0,81.0,83.0,33.0,62.0
283,82,87.0,76.0,77.0,81.0,67.0,78.0
284,82,84.0,77.0,78.0,84.0,42.0,57.0
285,82,93.0,71.0,74.0,86.0,50.0,52.0
287,82,59.0,64.0,73.0,69.0,85.0,77.0
288,82,61.0,82.0,64.0,75.0,49.0,74.0
289,82,87.0,69.0,77.0,83.0,69.0,53.0
290,82,56.0,73.0,85.0,83.0,65.0,58.0
291,82,72.0,75.0,75.0,76.0,78.0,81.0
292,82,55.0,63.0,81.0,81.0,77.0,68.0
295,82,62.0,74.0,83.0,83.0,36.0,47.0
296,82,46.0,81.0,71.0,72.0,42.0,79.0
297,82,65.0,55.0,63.0,55.0,81.0,78.0
298,82,85.0,78.0,80.0,85.0,49.0,60.0
299,82,58.0,49.0,65.0,67.0,81.0,82.0
300,82,80.0,79.0,77.0,82.0,47.0,82.0
301,82,81.0,78.0,77.0,85.0,44.0,73.0
302,82,81.0,77.0,79.0,83.0,46.0,75.0
303,82,69.0,74.0,81.0,76.0,82.0,79.0
304,82,76.0,82.0,73.0,79.0,24.0,76.0
305,82,83.0,78.0,79.0,86.0,46.0,73.0
306,82,92.0,79.0,75.0,86.0,47.0,69.0
307,82,50.0,82.0,57.0,66.0,45.0,80.0
308,82,73.0,77.0,82.0,82.0,72.0,69.0
309,82,75.0,77.0,77.0,84.0,43.0,56.0
310,82,56.0,79.0,71.0,69.0,51.0,78.0
311,82,87.0,78.0,71.0,84.0,42.0,60.0
312,82,70.0,72.0,78.0,80.0,82.0,77.0
313,82,80.0,77.0,81.0,85.0,46.0,69.0
314,82,82.0,60.0,74.0,79.0,81.0,79.0
315,82,54.0,43.0,55.0,59.0,83.0,85.0
316,82,90.0,81.0,72.0,80.0,35.0,76.0
317,82,79.0,75.0,77.0,75.0,78.0,84.0
318,82,92.0,76.0,74.0,85.0,34.0,71.0
319,82,80.0,78.0,76.0,83.0,58.0,72.0
320,82,91.0,79.0,79.0,83.0,40.0,67.0
321,82,88.0,81.0,65.0,74.0,55.0,75.0
322,82,71.0,81.0,56.0,76.0,37.0,83.0
323,82,89.0,81.0,76.0,85.0,58.0,69.0
325,82,71.0,61.0,57.0,62.0,82.0,80.0
326,82,81.0,57.0,74.0,77.0,82.0,74.0
327,82,80.0,43.0,56.0,65.0,83.0,76.0
328,82,81.0,77.0,81.0,82.0,40.0,71.0
329,81,81.0,77.0,68.0,82.0,40.0,83.0
330,81,79.0,71.0,79.0,83.0,66.0,67.0
331,81,80.0,65.0,78.0,87.0,70.0,78.0
332,81,79.0,50.0,66.0,71.0,81.0,81.0
334,81,71.0,78.0,77.0,79.0,71.0,79.0
335,81,74.0,50.0,72.0,72.0,82.0,78.0
336,81,69.0,67.0,79.0,84.0,68.0,68.0
337,81,67.0,76.0,79.0,80.0,71.0,68.0
338,81,70.0,68.0,77.0,79.0,81.0,84.0
339,81,85.0,61.0,77.0,80.0,75.0,69.0
340,81,87.0,73.0,73.0,87.0,36.0,65.0
341,81,81.0,72.0,81.0,84.0,70.0,61.0
343,81,51.0,67.0,81.0,71.0,69.0,78.0
344,81,67.0,76.0,79.0,84.0,68.0,60.0
345,81,69.0,73.0,76.0,79.0,78.0,88.0
346,81,74.0,80.0,76.0,80.0,57.0,77.0
347,81,82.0,54.0,75.0,80.0,80.0,78.0
348,81,89.0,79.0,61.0,79.0,25.0,73.0
349,81,69.0,74.0,73.0,77.0,79.0,82.0
350,81,71.0,62.0,67.0,74.0,83.0,82.0
352,81,52.0,37.0,52.0,56.0,82.0,80.0
353,81,76.0,81.0,76.0,78.0,39.0,74.0
354,81,83.0,74.0,67.0,75.0,56.0,82.0
355,81,90.0,73.0,78.0,83.0,46.0,61.0
356,81,62.0,58.0,69.0,65.0,82.0,77.0
357,81,73.0,75.0,82.0,85.0,66.0,57.0
358,81,69.0,69.0,80.0,83.0,64.0,67.0
359,81,78.0,70.0,78.0,79.0,77.0,74.0
360,81,68.0,33.0,48.0,65.0,83.0,75.0
361,81,64.0,73.0,79.0,80.0,76.0,73.0
362,81,78.0,75.0,80.0,84.0,37.0,61.0
363,81,83.0,70.0,75.0,88.0,62.0,54.0
366,81,55.0,67.0,76.0,67.0,78.0,84.0
367,81,76.0,79.0,66.0,78.0,45.0,69.0
368,81,63.0,80.0,59.0,69.0,39.0,83.0
369,81,77.0,73.0,82.0,86.0,24.0,63.0
370,81,68.0,64.0,73.0,62.0,83.0,81.0
371,81,61.0,70.0,82.0,77.0,77.0,78.0
372,81,75.0,82.0,73.0,80.0,50.0,70.0
373,81,70.0,82.0,66.0,75.0,36.0,74.0
374,81,73.0,68.0,77.0,87.0,77.0,80.0
375,81,53.0,73.0,87.0,77.0,60.0,56.0
377,81,60.0,43.0,63.0,64.0,82.0,74.0
378,81,55.0,42.0,54.0,53.0,82.0,79.0
379,81,67.0,73.0,79.0,79.0,71.0,72.0
380,81,36.0,38.0,54.0,60.0,81.0,76.0
381,81,68.0,68.0,81.0,82.0,72.0,68.0
382,81,77.0,68.0,75.0,73.0,82.0,78.0
383,81,85.0,79.0,74.0,77.0,43.0,67.0
384,81,71.0,77.0,82.0,81.0,38.0,67.0
385,81,49.0,73.0,84.0,74.0,67.0,71.0
387,81,52.0,48.0,62.0,63.0,82.0,74.0
389,81,80.0,70.0,78.0,79.0,79.0,89.0
390,81,64.0,76.0,76.0,75.0,79.0,79.0
391,81,61.0,62.0,71.0,70.0,81.0,82.0
392,81,78.0,72.0,80.0,82.0,41.0,58.0
393,81,81.0,79.0,79.0,87.0,27.0,56.0
394,81,58.0,60.0,69.0,69.0,80.0,82.0
395,81,70.0,44.0,64.0,70.0,82.0,74.0
396,81,48.0,68.0,77.0,72.0,80.0,78.0
397,81,66.0,73.0,79.0,77.0,79.0,79.0
398,81,78.0,76.0,78.0,83.0,55.0,66.0
399,81,68.0,63.0,76.0,75.0,82.0,82.0
400,81,82.0,77.0,76.0,80.0,77.0,73.0
401,81,75.0,81.0,73.0,82.0,39.0,70.0
402,81,56.0,78.0,80.0,81.0,58.0,72.0
403,81,82.0,73.0,79.0,82.0,58.0,69.0
404,81,42.0,69.0,73.0,75.0,78.0,79.0
405,81,76.0,74.0,81.0,86.0,76.0,84.0
406,81,82.0,72.0,77.0,83.0,26.0,51.0
407,81,71.0,61.0,57.0,62.0,82.0,75.0
408,81,82.0,72.0,77.0,83.0,26.0,51.0
409,81,80.0,82.0,60.0,71.0,34.0,75.0
410,81,80.0,80.0,56.0,74.0,29.0,80.0
411,80,82.0,80.0,74.0,81.0,40.0,70.0
412,80,76.0,66.0,78.0,80.0,74.0,69.0
413,80,81.0,30.0,64.0,68.0,79.0,76.0
414,80,68.0,31.0,63.0,68.0,82.0,72.0
416,80,63.0,78.0,82.0,78.0,68.0,67.0
417,80,79.0,49.0,72.0,71.0,79.0,77.0
418,80,77.0,74.0,81.0,78.0,62.0,68.0
419,80,64.0,34.0,46.0,63.0,83.0,74.0
420,80,70.0,58.0,77.0,83.0,71.0,66.0
421,80,76.0,80.0,53.0,73.0,38.0,71.0
422,80,83.0,77.0,70.0,84.0,53.0,76.0
423,80,58.0,50.0,73.0,71.0,77.0,73.0
424,80,89.0,64.0,73.0,79.0,75.0,81.0
425,80,82.0,71.0,77.0,82.0,55.0,61.0
426,80,64.0,38.0,50.0,59.0,81.0,83.0
428,80,92.0,51.0,70.0,78.0,76.0,66.0
429,80,81.0,51.0,77.0,77.0,77.0,77.0
430,80,82.0,77.0,61.0,76.0,30.0,81.0
432,80,77.0,79.0,69.0,78.0,53.0,72.0
433,80,79.0,75.0,76.0,83.0,30.0,57.0
434,80,84.0,75.0,75.0,85.0,39.0,67.0
435,80,66.0,48.0,69.0,74.0,79.0,85.0
436,80,73.0,70.0,75.0,78.0,73.0,78.0
437,80,89.0,53.0,71.0,77.0,77.0,69.0
438,80,64.0,80.0,68.0,72.0,32.0,79.0
439,80,45.0,69.0,79.0,80.0,66.0,67.0
440,80,64.0,51.0,59.0,55.0,78.0,83.0
441,80,71.0,67.0,81.0,79.0,72.0,74.0
442,80,75.0,53.0,70.0,71.0,81.0,77.0
443,80,79.0,51.0,68.0,75.0,78.0,74.0
444,80,65.0,71.0,78.0,80.0,73.0,80.0
445,80,91.0,76.0,72.0,83.0,29.0,69.0
446,80,61.0,47.0,75.0,76.0,78.0,66.0
447,80,64.0,73.0,76.0,80.0,75.0,62.0
448,80,62.0,49.0,58.0,61.0,81.0,74.0
449,80,77.0,79.0,59.0,78.0,31.0,72.0
450,80,70.0,67.0,79.0,76.0,78.0,74.0
451,80,82.0,73.0,78.0,84.0,66.0,73.0
452,80,61.0,73.0,81.0,77.0,73.0,72.0
453,80,66.0,46.0,74.0,70.0,81.0,72.0
454,80,88.0,73.0,75.0,87.0,30.0,56.0
455,80,82.0,61.0,78.0,85.0,74.0,66.0
457,80,60.0,49.0,62.0,66.0,80.0,79.0
458,80,73.0,77.0,81.0,83.0,37.0,50.0
459,80,82.0,73.0,78.0,82.0,43.0,52.0
461,80,88.0,80.0,70.0,78.0,39.0,81.0
462,80,76.0,42.0,58.0,62.0,79.0,80.0
463,80,89.0,74.0,76.0,82.0,48.0,63.0
464,80,88.0,62.0,76.0,81.0,54.0,62.0
465,80,77.0,72.0,78.0,85.0,32.0,50.0
468,80,64.0,41.0,65.0,63.0,81.0,75.0
469,80,48.0,76.0,81.0,77.0,65.0,73.0
470,80,68.0,61.0,64.0,59.0,81.0,80.0
471,80,71.0,32.0,63.0,54.0,82.0,74.0
472,80,63.0,74.0,77.0,79.0,76.0,83.0
473,80,87.0,78.0,67.0,77.0,39.0,75.0
474,80,59.0,59.0,67.0,65.0,83.0,79.0
475,80,65.0,78.0,74.0,75.0,70.0,75.0
476,80,77.0,43.0,74.0,75.0,75.0,81.0
477,80,52.0,49.0,71.0,73.0,77.0,77.0
478,80,70.0,56.0,64.0,61.0,80.0,78.0
479,80,81.0,78.0,76.0,81.0,58.0,75.0
480,80,60.0,73.0,78.0,77.0,70.0,66.0
481,80,67.0,75.0,82.0,84.0,59.0,58.0
482,80,75.0,78.0,65.0,77.0,32.0,72.0
483,80,69.0,66.0,72.0,72.0,80.0,80.0
484,80,67.0,68.0,77.0,80.0,76.0,74.0
487,80,66.0,78.0,83.0,82.0,44.0,56.0
488,80,64.0,81.0,80.0,76.0,56.0,76.0
490,80,72.0,75.0,79.0,86.0,37.0,62.0
491,80,66.0,53.0,72.0,68.0,79.0,75.0
494,80,69.0,82.0,71.0,71.0,43.0,83.0
495,80,39.0,83.0,67.0,70.0,41.0,70.0
497,80,52.0,58.0,69.0,66.0,81.0,76.0
501,80,60.0,81.0,61.0,79.0,35.0,67.0
502,80,64.0,64.0,65.0,68.0,83.0,69.0
503,80,77.0,62.0,74.0,79.0,80.0,75.0
504,80,75.0,77.0,79.0,82.0,51.0,72.0
505,80,47.0,82.0,80.0,77.0,72.0,81.0
506,80,53.0,65.0,62.0,60.0,81.0,71.0
507,80,73.0,77.0,81.0,77.0,76.0,75.0
509,80,60.0,78.0,85.0,81.0,45.0,59.0
510,80,73.0,81.0,74.0,85.0,55.0,75.0
512,80,59.0,67.0,81.0,75.0,74.0,75.0
513,80,77.0,75.0,80.0,82.0,34.0,48.0
514,80,65.0,64.0,72.0,72.0,83.0,77.0
515,80,65.0,51.0,62.0,60.0,82.0,77.0
516,80,52.0,71.0,74.0,73.0,78.0,77.0
517,80,75.0,69.0,76.0,76.0,77.0,72.0
519,80,33.0,41.0,54.0,53.0,82.0,81.0
520,80,53.0,51.0,76.0,71.0,81.0,69.0
521,80,70.0,55.0,61.0,64.0,78.0,82.0
522,80,75.0,70.0,77.0,86.0,42.0,57.0
523,80,71.0,79.0,72.0,75.0,58.0,86.0
524,80,86.0,72.0,74.0,83.0,34.0,64.0
525,80,74.0,60.0,81.0,76.0,78.0,72.0
526,80,66.0,47.0,63.0,67.0,83.0,72.0
527,80,70.0,61.0,75.0,74.0,75.0,78.0
528,80,66.0,80.0,78.0,79.0,59.0,72.0
529,80,86.0,81.0,70.0,76.0,32.0,73.0
530,80,42.0,55.0,71.0,68.0,79.0,86.0
531,80,70.0,66.0,75.0,78.0,78.0,77.0
532,80,78.0,85.0,76.0,80.0,47.0,86.0
533,80,57.0,72.0,80.0,73.0,77.0,80.0
534,80,69.0,47.0,58.0,58.0,79.0,81.0
535,80,45.0,32.0,44.0,53.0,79.0,82.0
536,80,86.0,75.0,73.0,84.0,58.0,68.0
538,80,73.0,57.0,71.0,67.0,80.0,79.0
539,80,75.0,73.0,79.0,83.0,61.0,67.0
540,80,73.0,76.0,78.0,83.0,57.0,71.0
541,80,60.0,78.0,70.0,75.0,43.0,78.0
542,80,54.0,40.0,59.0,62.0,80.0,78.0
543,80,86.0,73.0,80.0,83.0,48.0,53.0
544,80,88.0,76.0,68.0,84.0,27.0,68.0
545,80,75.0,40.0,59.0,60.0,82.0,79.0
546,80,76.0,79.0,80.0,81.0,59.0,67.0
547,80,78.0,77.0,81.0,82.0,36.0,62.0
548,80,89.0,75.0,76.0,81.0,48.0,61.0
549,80,82.0,66.0,74.0,81.0,75.0,75.0
550,80,75.0,64.0,77.0,78.0,78.0,73.0
551,80,62.0,49.0,65.0,63.0,80.0,81.0
552,80,76.0,79.0,62.0,77.0,50.0,84.0
553,80,77.0,55.0,74.0,75.0,79.0,77.0
554,80,66.0,73.0,78.0,83.0,50.0,60.0
555,80,78.0,78.0,71.0,75.0,47.0,79.0
556,80,87.0,69.0,76.0,85.0,38.0,44.0
557,80,67.0,61.0,72.0,69.0,78.0,80.0
559,80,55.0,58.0,73.0,78.0,75.0,83.0
560,80,87.0,70.0,79.0,80.0,52.0,68.0
561,80,72.0,79.0,61.0,75.0,31.0,77.0
562,80,88.0,79.0,63.0,65.0,41.0,90.0
563,80,68.0,62.0,74.0,76.0,78.0,77.0
564,80,79.0,54.0,76.0,78.0,75.0,74.0
566,80,68.0,62.0,74.0,76.0,78.0,77.0
567,80,79.0,54.0,76.0,78.0,77.0,74.0
568,79,93.0,70.0,71.0,85.0,29.0,63.0
569,79,70.0,58.0,78.0,81.0,70.0,74.0
570,79,76.0,75.0,75.0,81.0,60.0,77.0
571,79,87.0,50.0,63.0,78.0,80.0,72.0
573,79,78.0,27.0,54.0,68.0,80.0,78.0
574,79,69.0,73.0,77.0,80.0,71.0,74.0
